id,Park Code,Name,Street,Suburb,Easting,Northing,Latitude,Longitude
1518,D0884,PAMAROO CRESCENT PARK,CHIPALA ST,JINDALEE,"493,307.46","6,954,305.90",-27.53498736,152.9322215
1519,D3057,PAMELA STREET PARK,PAMELA ST,WYNNUM WEST,"514,831.92","6,964,107.90",-27.44643092,153.1500895
1520,D2493,PAMIR STREET PARK,PAMIR ST,NUDGEE,"508,720.77","6,973,360.33",-27.36295227,153.0881824
1521,D1183,PANGELA STREET PARK,CHAPROWE RD,THE GAP,"494,602.27","6,964,715.24",-27.44074749,152.9453412
1522,D1097,PANORAMA PLACE PARK,NURSERY RD,HOLLAND PARK,"507,836.30","6,955,086.18",-27.52793693,153.0793569
1523,D1656,PARADISE ROAD PARK,BROOKBENT RD,PALLARA,"502,354.83","6,945,673.57",-27.61293318,153.0238653
1524,D2075,PARAGON STREET PARK,PARAGON ST,YERONGA,"501,083.25","6,955,786.64",-27.52163545,153.0109692
1525,D1999,PARAGON STREET PARK (NO.39),PARAGON ST,YERONGA,"501,236.16","6,955,769.31",-27.52179178,153.0125177
1526,D0857,PARDALOTE PARK,WOODLAND ST,ALGESTER,"504,026.62","6,946,315.40",-27.60713495,153.0408062
1527,D2066,PARER PLACE,GONA PDE,KELVIN GROVE,"501,297.17","6,963,177.09",-27.45491447,153.0131275
1528,D0381,PARINGA PLACE PARK,CASSIA LANE,YERONGA,"500,042.38","6,956,873.69",-27.51182203,153.0004291
1529,D1913,PARK AVENUE PARK,PARK AVE,ASHGROVE,"500,173.63","6,964,626.63",-27.44182868,153.0017569
1530,D1639,PARK ROAD PARK,GORDON ST,MILTON,"500,407.02","6,961,424.54",-27.47073708,153.0041197
1531,D1840,PARK ROAD PARK (NO.26),PARK RD,YERONGA,"502,026.06","6,956,530.20",-27.51492153,153.0205151
1532,D1350,PARKINSON BUSHLANDS,JOHNSON RD,PARKINSON,"502,683.40","6,941,547.91",-27.65017809,153.0272045
1533,D1067,PARKLAND STREET PARK,ORANIA CRES,CALAMVALE,"505,373.80","6,944,720.70",-27.62152692,153.0544657
1534,D1297,PARKVIEW PLACE PARK,DARIEN ST,BRIDGEMAN DOWNS,"498,689.07","6,973,689.01",-27.36001211,152.9867445
1535,D1578,PARKWAY PLACE PARK,EVERGREEN CL,KENMORE,"493,176.64","6,955,763.38",-27.5218287,152.9309049
1536,D3054,PARKWOOD DRIVE PARK,PARKWOOD DR,HEATHWOOD,"498,783.28","6,942,922.99",-27.6377664,152.9876662
1537,D0987,PARTON STREET PARK,PARTON ST,STAFFORD HTS,"499,967.00","6,970,107.56",-27.3923465,152.9996663
1538,D1576,PAT RAFTER PARK,MEDALLION PL,CARSELDINE,"500,903.35","6,975,726.30",-27.34161953,153.0091327
1539,D0140,PATEN PARK,PATEN RD,THE GAP,"495,276.32","6,963,486.77",-27.45211114,152.9521969
1540,D0764,PATEN ROAD PARK,PATEN RD,THE GAP,"495,577.88","6,962,710.20",-27.45912303,152.9552458
